ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),singulier,pluriel
saumon,743,22,"9,49","0,91",0,"< 0,25",,"2,06","72,1",saumon,saumons
saumonette,1070,"25,4","17,2",traces,0,0,,"4,11","60,1",saumonette,saumonettes
saurel,,,,,,,,,,saurel,saurels
sauté,538,20,"5,13","0,48",0,0,,"1,97","72,7",sauter,sauters
sauterelle,,,,,,,,,,sauterelle,sauterelles
sauterne,,,,,,,,,,sauterne,sauternes
savon,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",,savon,savons
savora,,,,,,,,,,savora,savoras
sbrinz,,,,,,,,,,sbrinz,sbrinzs
scamorza,,,,,,,,,,scamorza,scamorzas
scampi,,,,,,,,,,scampi,scampis
scarole,,"1,25","0,2","0,3","0,23","3,1",,"0,048",0,scarole,scaroles
schnaps,,,,,,,,,,schnaps,schnapss
schweppes,,"0,068","0,066","8,28","7,38","0,05",,0,0,schweppes,schweppess
scorsonère,,"3,13","0,3","15,3",,"3,3",,"< 0,1",0,scorsonère,scorsonères
seiche,323,"16,2","1,05","0,51",0,0,,"0,35",111,seiche,seiches
seigle,1450,"8,7","1,37","70,7","0,93","7,15",,"0,15",0,seigle,seigles
seitan,566,"20,6","2,5","6,74","0,81","0,9",,"0,38",,seitan,seitans
sel,0,0,0,0,0,0,,,,sel,sels
selle,979,"17,5","18,4",0,0,0,,"7,95",78,selle,selles
selles-sur-cher,1210,"18,9","23,9",traces,,0,,18,,selles-sur-cher,selles-sur-chers
semoule,510,"3,75","0,8",24,3,"1,9",,"0,25",,semoule,semoules
serpent,,,,,,,,,,serpent,serpents
serpolet,,,,,,,,,,serpolet,serpolets
serran,,,,,,,,,,serran,serrans
seven,,,,,,,,,,seven,sevens
sherry,,,,,,,,,,sherry,sherrys
shichimi,,,,,,,,,,shichimi,shichimis
shiitaké,258,"1,56","0,22","12,3","3,84","2,1",,"0,05",0,shiitaké,shiitakés
shiso,"60,7","0,94","< 0,5","1,53","1,1","1,4",,"< 0,01",0,shiso,shisos
shortbread,,,,,,,,,,shortbread,shortbreads
siave,,,,,,,,,,siave,siaves
silure,,,,,,,,,,silure,silures
sirop,,"0,04","0,06","67,1","62,6",0,,"0,007",0,sirop,sirops
skyr,,,,,,,,,,skyr,skyrs
smartie,2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1",smartie,smarties
smoothie,,"0,62","0,26","12,4","11,7","1,08",,"0,17",,smoothie,smoothies
snicker,,,,,,,,,,snicker,snickers
soda,198,"0,067","0,028","11,3","9,92",traces,,traces,0,soda,sodas
soho,,,,,,,,,,soho,sohos
soja,193,"7,08","0,1","3,64","1,32","0,86",,"0,0085",0,soja,sojas
soju,,,,,,,,,,soju,sojus
sole,330,"15,7","1,69",traces,0,0,,"0,31","60,5",sole,soles
son,1160,"15,2","4,35","23,6","2,46",42,,"0,84",0,son,sons
sorbet,,"0,46","0,78","29,6",25,"1,17",,"0,45",1,sorbet,sorbets
sot,,,,,,,,,,sot,sots
soubressade,,,,,,,,,,soubressade,soubressades
soumaintrain,,,,,,,,,,soumaintrain,soumaintrains
soupe,179,"3,45","1,79","2,88","0,9","0,69",,"0,58",30,soupe,soupes
souris,538,20,"5,13","0,48",0,0,,"1,97","72,7",souris,souriss
spaghetti,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0,spaghetti,spaghettis
spaghettini,,,,,,,,,,spaghettini,spaghettinis
speck,1010,"12,2","9,43","25,7","3,47","1,6",,"4,67",,speck,specks
spigol,,,,,,,,,,spigol,spigols
spiruline,,"57,5","7,72","20,3","3,1","3,6",,"2,65",0,spiruline,spirulines
sprat,777,"19,8","11,9",traces,0,0,,"3,32",87,sprat,sprats
spritz,,,,,,,,,,spritz,spritzs
spätzle,,,,,,,,,,spätzle,spätzles
spéculoo,,"5,94","19,7",69,"32,6","1,93",,"9,35",,spéculoo,spéculoos
st,0,0,0,0,0,0,,0,0,st,sts
stabilisateur,,,,,,,,,,stabilisateur,stabilisateurs
steak,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",,steak,steaks
stilton,,,,,,,,,,stilton,stiltons
stollen,,,,,,,,,,stollen,stollens
stylo,504,"3,79","3,6",18,"15,3",0,,"1,76",123,stylo,stylos
stévia,993,traces,"0,2",98,"0,3","0,5",,0,,stévia,stévias
sucette,,"< 0,19","0,35","95,4","74,9","< 0,17",,"0,28",0,sucette,sucettes
sucr,753,13,"13,8","1,31","0,93",0,,"3,68",884,sucr,sucrs
sucre,,0,0,"99,8","99,8",0,,0,0,sucre,sucres
sucrette,,,,,,,,,,sucrette,sucrettes
sucrine,"75,5","1,13","< 0,3","2,58","1,78","0,8",,"< 0,01",,sucrine,sucrines
sujet,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5",sujet,sujets
sumac,,,,,,,,,,sumac,sumacs
supion,,,,,,,,,,supion,supions
surimi,525,"8,31","4,92","11,8","2,1","< 0,33",,"0,46","10,8",surimi,surimis
sylvaner,,,,,,,,,,sylvaner,sylvaners
sébast,378,"18,8","1,6",traces,0,0,,"0,31","47,2",sébast,sébasts
sérac,,,,,,,,,,sérac,séracs
séré,,,,,,,,,,séré,sérés
sésame,,"20,8","49,7","9,85","0,3","14,9",,"7,09",0,sésame,sésames
sévereau,,,,,,,,,,sévereau,sévereaux
tabasco,,,,,,,,,,tabasco,tabascos
tabel,,,,,,,,,,tabel,tabels
taboulé,753,"4,88","6,7","23,7","4,9","2,5",,"0,67","0,1",taboulé,taboulés
tacaud,346,"19,7","0,33",traces,0,0,,"0,098","46,4",tacaud,tacauds
taco,,,,,,,,,,taco,tacos
tagliatelle,487,"5,32","4,07","13,6","2,64","1,9",,"1,42",11,tagliatelle,tagliatelles
tahin,,"20,3","53,4","13,8","0,49",7,,"7,48",0,tahin,tahins
tahini,,"20,3","53,4","13,8","0,49",7,,"7,48",0,tahini,tahinis
tahiné,,"20,3","53,4","13,8","0,49",7,,"7,48",0,tahiné,tahinés
takuan,,,,,,,,,,takuan,takuans
taleggio,,,,,,,,,,taleggio,taleggios
tamari,,,,,,,,,,tamari,tamaris
tamarin,,"2,65","0,6","57,4","38,8","5,1",,"0,24",0,tamarin,tamarins
tanch,,,,,,,,,,tanch,tanchs
tandoori,,"2,6","1,7","14,3","12,3","1,9",,"0,35",,tandoori,tandooris
tapenade,,"1,3",23,"2,6","0,2","3,7",,"2,7","3,2",tapenade,tapenades
tapioca,1500,"0,19","0,02","87,8","3,35","0,9",,"0,005",0,tapioca,tapiocas
tarama,2200,"6,75","54,8","3,19","0,75","0,74",,"4,61","65,2",tarama,taramas
taro,555,"0,52","0,11","29,5","0,49","5,1",,"0,023",0,taro,taros
tartare,,"0,99",55,"4,6","3,11","0,47",,"4,99","35,1",tartare,tartares
tartufater,,,,,,,,,,tartufater,tartufaters
taureau,,,,,,,,,,taureau,taureaux
tellin,,,,,,,,,,tellin,tellins
tempeh,634,"17,6","4,7","7,89","0,24","6,2",,"0,57",0,tempeh,tempehs
tendre,618,"29,8","3,03",traces,,0,,"1,03",,tendre,tendres
tendron,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6",tendron,tendrons
thiof,,,,,,,,,,thiof,thiofs
thon,649,"23,3","6,81",traces,0,0,,"1,26",38,thon,thons
thym,446,"5,56","1,68","10,5",,14,,"0,47",0,thym,thyms
thé,"0,26",0,"0,007",0,0,0,,"0,002",0,thé,thés
tige,123,2,"0,17",3,1,4,,"0,042",0,tige,tiges
tilapia,387,"18,1","2,13",traces,0,0,,"0,56","39,5",tilapia,tilapias
tilleul,,,,,,,,,,tilleul,tilleuls
tilsit,,,,,,,,,,tilsit,tilsits
toast,971,"9,09","13,3","17,8","5,75","2,8",,"5,94","57,2",toast,toasts
toastinette,1030,"13,8","18,5","5,34","4,95",0,,"12,3",60,toastinette,toastinettes
toblerone,2220,"5,8",29,"60,5","60,1","2,9",,"17,4","25,3",toblerone,toblerones
tofu,595,"14,7","8,5","2,87","0,57","< 0,5",,"1,35",0,tofu,tofus
tokay,,,,,,,,,,tokay,tokays
tomate,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0,tomate,tomates
tome,1460,"21,1","29,4",traces,traces,0,,"19,4",,tome,tomes
tomme,1460,"21,1","29,4",traces,traces,0,,"19,4",,tomme,tommes
tonic,,"0,068","0,066","8,28","7,38","0,05",,0,0,tonic,tonics
topinambour,346,"1,8","0,7",16,"9,6","2,2",,0,0,topinambour,topinambours
torsade,,,,,,,,,,torsade,torsades
torsette,,,,,,,,,,torsette,torsettes
tortellini,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30,tortellini,tortellinis
tortil,,,,,,,,,,tortil,tortils
tortilla,686,"5,56","9,9","11,7","1,22","2,7",,"1,55","99,2",tortilla,tortillas
tournedos,,,,,,,,,,tournedos,tournedoss
tourteau,520,"19,5","4,29","1,79",0,0,,"0,55","73,3",tourteau,tourteaux
tout,2730,0,0,0,0,0,,0,0,tout,touts
tranche,618,"29,8","3,03",traces,,0,,"1,03",,tranche,tranches
travers,1380,"23,1","26,6","0,13",0,0,,"10,7","98,1",travers,traverss
tripe,342,"12,1","3,69",0,0,0,,"1,29",122,tripe,tripes
triple,,"1,5",7,"8,45","6,6",traces,,"4,85",,triple,triples
trompette,,"0,67","0,18","14,3","14,3","0,2",,"0,015",0,trompette,trompettes
truff,,"5,77","0,51",,"0,7","8,5",,"0,11",0,truff,truffs
truite,419,19,"2,6",traces,0,0,,"0,54",,truite,truites
trévise,,,,,,,,,,trévise,trévises
tsuyu,1080,5,23,7,"4,5","2,5",,16,,tsuyu,tsuyus
tuc,2090,"10,5","23,9",59,"5,44","3,14",,"12,1","5,9",tuc,tucs
tuil,1980,"7,8","18,1",68,"39,2","2,1",,"5,65","43,6",tuil,tuils
turbot,497,"21,3","3,64",traces,0,0,,"0,9",62,turbot,turbots
turron,,"7,88","25,2","62,5",58,"0,7",,"1,61",0,turron,turrons
tzatziki,,"6,06","10,9","3,8","2,7",traces,,"0,81","8,77",tzatziki,tzatzikis
téquila,,,,,,,,,,téquila,téquilas
tétine,,,,,,,,,,tétine,tétines
tétragone,,"1,3","0,17",1,"0,25","1,4",,"0,027",0,tétragone,tétragones
tête,720,"14,1","12,9","0,2",0,0,,"4,37",61,tête,têtes
vache,1010,"10,4","19,3","6,38",traces,0,,"12,9",81,vache,vaches
vacherin,1260,"18,5","25,4",traces,traces,0,,"16,3",,vacherin,vacherins
vanille,,"0,1","0,33",99,"97,2","0,37",,"0,053",,vanille,vanilles
vanilline,,,,,,,,,,vanilline,vanillines
veau,712,29,"5,55","0,74",,"0,053",,"1,79","87,9",veau,veaux
velours,531,"0,69","< 0,6","25,8","19,1","0,5",,0,,velours,velourss
ventrèche,,,,,,,,,,ventrèche,ventrèches
vergeois,,,,,,,,,,vergeois,vergeoiss
verjus,,,,,,,,,,verjus,verjuss
vermicelle,,"0,5",5,93,91,"0,5",,4,,vermicell,vermicells
vermouth,,"0,054",0,"11,3","11,1",0,,0,0,vermouth,vermouths
verveine,,,,,,,,,,verveine,verveines
vet,,,,,,,,,,vet,vets
viande,765,"27,2","8,04","0,24","0,011","0,0083",,3,"85,8",viande,viandes
viandox,,,,,,,,,,viandox,viandoxs
vieux,1300,"19,9","25,7",traces,traces,0,,"17,4",,vieux,vieuxs
vif,,,,,,,,,,vif,vifs
vin,,"< 0,5",0,"4,04","0,17",0,,0,0,vin,vins
vinaigre,"97,4","0,04","0,1","0,62","0,04",0,,0,0,vinaigre,vinaigres
vinaigrette,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0,vinaigrette,vinaigrettes
violette,,"2,5","0,3","2,5",,"1,8",,"0,07",0,violette,violettes
vitpris,,,,,,,,,,vitpris,vitpriss
vodka,1000,0,0,0,0,0,,0,0,vodker,vodkers
vol-au-vent,,"7,29","34,9","52,9","49,9","2,51",,"16,4","14,3",vol-au-vent,vol-au-vents
volaill,698,"27,6","5,96","0,28","0,0022","0,0013",,"1,77","99,3",volaill,volaills
vouvray,,,,,,,,,,vouvray,vouvrays
végétalin,3700,"< 0,5","99,8",0,traces,0,,"94,6",,végétalin,végétalins
vénus,,,,,,,,,,vénus,vénuss
wakame,769,"12,3","1,53","6,28",,"49,5",,,,wakame,wakames
wasa,,,,,,,,,,wasa,wasas
wasabi,,,,,,,,,,wasabi,wasabis
whisky,1050,0,0,"0,096","0,096",0,,0,0,whisky,whiskys
wonton,,,,,,,,,,wonton,wontons
wrap,1020,"9,19","1,8","44,3","2,2","6,9",,"0,52",0,wrap,wraps
xérès,,,,,,,,,,xérès,xérèss
yaourt,240,"3,8","2,3","4,73","4,67","0,86",,"1,53",12,yaourt,yaourts
yet,,,,,,,,,,yet,yets
yuzu,,,,,,,,,,yuzu,yuzus
zaatar,,,,,,,,,,zaatar,zaatars
zeste,,"0,2","0,2","82,7","82,7","1,1",,"0,02",0,zest,zests
zgougou,,,,,,,,,,zgougou,zgougous
zuccata,,,,,,,,,,zuccata,zuccatas
échalote,282,2,"0,4","12,3","3,8","2,9",,"0,12",,échalote,échalotes
échine,1230,"26,2","21,2","< 0,1",0,0,,,"58,4",échine,échines
éclat,1770,3,"6,5","85,4",62,3,,1,,éclat,éclats
écorce,,"0,29","0,08","8,79","8,79","0,18",,"0,005",,écorce,écorces
écrevisse,312,"16,3","0,7","0,56","< 0,25",0,,"0,17",116,écrevisse,écrevisses
édulcorer,,"0,18","0,037","5,47","5,25","0,11",,"0,0067",,édulcorer,édulcorers
églantine,,,,,,,,,,églantine,églantines
églefin,377,"20,9","0,6",traces,0,0,,"0,1",38,églefin,églefins
émincé,1440,16,25,"14,1",1,"0,5",,"9,5",,émincer,émincers
épaule,698,"27,6","6,17",traces,,0,,"2,07",,épaule,épaules
épeautre,1430,"15,6","2,43","59,5","6,68","10,7",,"0,41",0,épeautre,épeautres
éperlan,361,"17,5","1,7",traces,0,0,,"0,27",71,éperlan,éperlans
épi,,"3,41","1,5","18,6","4,54","2,4",,"0,2",0,épi,épis
épice,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0,épice,épices
épigramme,,,,,,,,,,épigramme,épigrammes
épinard,117,"3,38","0,7","< 0,85",traces,"3,5",,"0,13",,épinard,épinards
épine,,,,,,,,,,épine,épines
épluchure,,,,,,,,,,épluchure,épluchures
époisse,1210,"17,4","24,5",traces,"< 0,03",traces,,"17,1","80,5",époisse,époisses
érabl,,,,,,,,,,érabl,érabls
étoile,1480,0,"0,2","86,3",,"0,55",,"0,039",0,étoile,étoiles
étrille,,,,,,,,,,étrille,étrilles
